term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.5348459611985268,0.07383539355169068,4.3640944710011504e-13,0.3901312490528721,0.6795606733441815,M1_complexity_only
z_n_activity_types,0.10219255241379262,0.04809739805084032,0.03361163476324232,0.007923384484058604,0.19646172034352663,M1_complexity_only
z_n_motions,-0.25193997820559955,0.044769626959353506,1.8286614150015014e-08,-0.3396868346472259,-0.16419312176397322,M1_complexity_only
z_activity_entropy,1.4229493877070527,0.03789716617432482,1.5391506746193574e-308,1.3486723068892466,1.4972264685248589,M1_complexity_only
z_n_events,0.5490451130600226,0.08255430243359435,2.916731755472195e-11,0.3872416535213503,0.7108485725986948,M2_with_case_controls
z_n_activity_types,0.10055820751647697,0.04879627001613343,0.03932436550967887,0.004919275704963727,0.1961971393279902,M2_with_case_controls
z_n_motions,-0.2667362570935115,0.05467592442525104,1.0689804477545411e-06,-0.3738990997884374,-0.1595734143985856,M2_with_case_controls
z_activity_entropy,1.4230768480287241,0.037988607577048375,4.033968730280825e-307,1.3486205453548838,1.4975331507025644,M2_with_case_controls
z_n_events,0.5164065874957667,0.08165790890708773,2.548378802664015e-10,0.35636002698502234,0.6764531480065111,M3_with_judge_fe
z_n_activity_types,0.07682060591258277,0.0480740695771319,0.1100511123762158,-0.017402839048868454,0.17104405087403401,M3_with_judge_fe
z_n_motions,-0.2337481449926467,0.054758197090525824,1.9658605548538153e-05,-0.34107223914842333,-0.1264240508368701,M3_with_judge_fe
z_activity_entropy,1.4533659378253314,0.03766350250972322,0.0,1.37954682937464,1.5271850462760228,M3_with_judge_fe
