feature,mean_abs_shap
has_445_amer_w_disabilities-employment,0.0
has_448_education,0.0
suit_freq_899_administrative_procedure_act_review_or_appeal_of_agency_decision,0.0
has_899_administrative_procedure_act_review_or_appeal_of_agency_decision,0.0
suit_freq_751_family_and_medical_leave_act,0.0
has_315_airplane_product_liability,0.0
suit_freq_810_selective_service,0.0
suit_freq_896_arbitration,0.0
has_896_arbitration,0.0
suit_freq_560_conditions_of_confinement,0.0
has_560_conditions_of_confinement,0.0
has_875_customer_challenge_12_usc_3410,0.0
suit_freq_862_black_lung_(923),0.0
has_862_black_lung_(923),0.0
has_490_cable_sat_tv,0.0
suit_freq_448_education,0.0
has_400_state_reapportionment,0.0
has_810_selective_service,0.0
suit_freq_660_occupational_safety_health,0.0
has_660_occupational_safety_health,0.0
suit_freq_153_recovery_of_overpayment_of_veteran_s_benefits,0.0
has_153_recovery_of_overpayment_of_veteran_s_benefits,0.0
suit_freq_640_rr_&_truck,0.0
has_640_rr_&_truck,0.0
suit_freq_465_other_immigration_actions,0.0
has_465_other_immigration_actions,0.0
suit_freq_462_naturalization_application,0.0
has_462_naturalization_application,0.0
has_196_franchise,0.0
suit_freq_463_habeas_corpus_-_alien_detainee,0.0
has_463_habeas_corpus_-_alien_detainee,0.0
suit_freq_875_customer_challenge_12_usc_3410,0.0
has_376_376_qui_tam_(31_u.s.c._3729(a)),0.0
suit_freq_894_energy_allocation_act,0.0
has_894_energy_allocation_act,0.0
suit_freq_376_376_qui_tam_(31_u.s.c._3729(a)),0.0
suit_dominance,0.0
has_610_agriculture,0.0
suit_freq_720_labor_management_relations,0.0
has_368_asbestos_personal_injury_product_liability,0.0
has_790_other_labor_litigation,0.0
suit_freq_790_other_labor_litigation,0.0
has_730_labor_management_reporting_&_disclosure_act,0.0
suit_freq_730_labor_management_reporting_&_disclosure_act,0.0
has_330_federalemployers_liability,0.0
has_350_motor_vehicle,0.0
has_130_miller_act,0.0
suit_freq_130_miller_act,0.0
has_720_labor_management_relations,0.0
has_444_welfare,0.0
suit_freq_610_agriculture,0.0
suit_freq_444_welfare,0.0
has_230_rent_lease_&_ejectment,0.0
has_950_constitutionality_of_state_statutes,0.0
has_460_deportation,0.0
suit_freq_460_deportation,0.0
has_370_other_fraud,0.0
n_unique_suits,0.0
has_900_appeal_of_fee_determination_under_equal_access_to_justice_act,0.0
suit_freq_900_appeal_of_fee_determination_under_equal_access_to_justice_act,0.0
is_multisuit,0.0
suit_freq_150_recovery_of_overparyment_&_enforcement_of_judgment,0.0
has_150_recovery_of_overparyment_&_enforcement_of_judgment,0.0
suit_freq_380_other_personal_property_damage,0.0
has_380_other_personal_property_damage,0.0
has_310_airplane,0.0
has_210_land_condemnation,0.0
suit_freq_210_land_condemnation,0.0
has_195_contract_product_liability,0.0
suit_freq_195_contract_product_liability,0.0
has_690_other,0.0
has_240_torts_to_land,0.0
suit_freq_240_torts_to_land,0.0
has_891_agricultural_acts,0.0
has_160_stockholders_suits,0.0
has_871_irs-third_party_26_usc_7609,0.0
has_895_freedom_of_information_act,0.0
has_450_commerce,0.0
suit_freq_450_commerce,0.0
has_430_banks_and_banking,0.0
has_340_marine,0.0
suit_freq_340_marine,0.0
suit_entropy,0.0
suit_freq_290_all_other_property,0.0
has_355_motor_vehicle_product_liability,0.0
suit_freq_355_motor_vehicle_product_liability,0.0
has_290_all_other_property,0.0
