term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.14510081299348243,0.01631969896588033,6.048228529123733e-19,0.11311479078182142,0.17708683520514346,M1_complexity_only
z_n_activity_types,0.8902632358861468,0.009831273749858586,0.0,0.8709942934142699,0.9095321783580236,M1_complexity_only
z_n_motions,0.04127024609541696,0.013082815336134378,0.0016075210671098615,0.0156283992202053,0.06691209297062863,M1_complexity_only
z_activity_entropy,-0.1939791337674602,0.00878036176409666,3.7411259423917756e-108,-0.21118832659632222,-0.17676994093859819,M1_complexity_only
z_n_events,0.14514761968274023,0.016329162045548996,6.173959327318019e-19,0.1131430501757458,0.17715218918973466,M2_with_case_controls
z_n_activity_types,0.890243404150584,0.009839603368818093,0.0,0.8709581359255416,0.9095286723756264,M2_with_case_controls
z_n_motions,0.04123318070559625,0.013087869072036025,0.0016299768605620927,0.015581428690029982,0.06688493272116251,M2_with_case_controls
z_activity_entropy,-0.1939485964964283,0.008794690080165216,8.955504130065555e-108,-0.2111858723087438,-0.17671132068411277,M2_with_case_controls
z_n_events,0.16993843235950554,0.016551196765860473,9.879061387912206e-25,0.1374986827973832,0.20237818192162788,M3_with_judge_fe
z_n_activity_types,0.8967048190806163,0.009850782504963088,0.0,0.8773976401513514,0.9160119980098812,M3_with_judge_fe
z_n_motions,0.015501047861739253,0.01314962300032961,0.23846957768399157,-0.01027173962918631,0.041273835352664816,M3_with_judge_fe
z_activity_entropy,-0.20095239109688434,0.00883636754013087,1.741113322681107e-114,-0.21827135322969965,-0.18363342896406903,M3_with_judge_fe
