feature,rf_importance
suit_freq_443_housing_accommodations,9.539851579639026e-06
has_462_naturalization_application,8.73624905960713e-06
suit_freq_462_naturalization_application,8.320260311227763e-06
suit_freq_790_other_labor_litigation,7.495151970379434e-06
suit_freq_446_amer_w_disabilities_-_other,7.334430671257754e-06
has_160_stockholders_suits,7.180421567490153e-06
suit_freq_445_amer_w_disabilities-employment,7.123254498642766e-06
suit_freq_368_asbestos_personal_injury_product_liability,6.682471204085149e-06
"has_320_assault,_libel,_&_slander",6.049399664789318e-06
suit_freq_891_agricultural_acts,5.930522836371408e-06
has_245_tort_product_liability,5.891932671025845e-06
suit_freq_375_false_claims_act,5.8183795935740885e-06
has_310_airplane,5.739959036852336e-06
suit_freq_430_banks_and_banking,5.336382566248319e-06
suit_freq_490_cable_sat_tv,5.228582849675574e-06
suit_freq_160_stockholders_suits,4.9641006582932675e-06
suit_freq_740_railway_labor_act,4.919579041669854e-06
has_330_federalemployers_liability,4.9018712700420685e-06
suit_freq_290_all_other_property,4.556737802372815e-06
has_368_asbestos_personal_injury_product_liability,4.545951805255922e-06
suit_freq_380_other_personal_property_damage,4.533294942192752e-06
has_290_all_other_property,4.525444818438745e-06
has_380_other_personal_property_damage,3.859004204063605e-06
has_446_amer_w_disabilities_-_other,3.6325953197365547e-06
suit_freq_245_tort_product_liability,3.5407681956448097e-06
has_375_false_claims_act,3.5014437552076155e-06
has_790_other_labor_litigation,3.259700221249395e-06
has_891_agricultural_acts,2.8880573791791322e-06
suit_freq_625_drug_related_seizure_of_property_21_usc_881_630_liquor_laws,2.8869469959677997e-06
suit_freq_330_federalemployers_liability,2.621399833625397e-06
has_751_family_and_medical_leave_act,2.5659148551206802e-06
has_196_franchise,2.5245147957837097e-06
has_450_commerce,2.0571334631381266e-06
suit_freq_450_commerce,1.7951503867127875e-06
suit_freq_195_contract_product_liability,1.681054453940836e-06
suit_freq_310_airplane,1.5089310382376182e-06
has_861_hia_(1395ff),1.3785153536879173e-06
has_950_constitutionality_of_state_statutes,1.1714956226895597e-06
has_430_banks_and_banking,1.0991628337082004e-06
suit_freq_950_constitutionality_of_state_statutes,1.0825952095894175e-06
suit_freq_230_rent_lease_&_ejectment,1.0799710777332043e-06
has_740_railway_labor_act,1.0749372424995733e-06
suit_freq_196_franchise,1.0354764084197366e-06
has_340_marine,9.782241707965788e-07
suit_freq_751_family_and_medical_leave_act,8.282982050951054e-07
has_195_contract_product_liability,7.149729833136151e-07
suit_freq_355_motor_vehicle_product_liability,6.551064244424929e-07
suit_freq_150_recovery_of_overparyment_&_enforcement_of_judgment,6.176043851702921e-07
suit_freq_895_freedom_of_information_act,6.098009801876066e-07
has_150_recovery_of_overparyment_&_enforcement_of_judgment,3.6175803319268654e-07
suit_freq_340_marine,3.432628725248902e-07
has_230_rent_lease_&_ejectment,3.3221725743731644e-07
has_895_freedom_of_information_act,2.3637384275269177e-07
suit_freq_463_habeas_corpus_-_alien_detainee,2.015408683841668e-07
has_441_voting,1.0097099913592443e-07
has_355_motor_vehicle_product_liability,3.006956946189251e-08
suit_freq_444_welfare,1.925456112837264e-08
suit_freq_610_agriculture,0.0
is_multisuit,0.0
has_871_irs-third_party_26_usc_7609,0.0
has_730_labor_management_reporting_&_disclosure_act,0.0
has_463_habeas_corpus_-_alien_detainee,0.0
suit_freq_730_labor_management_reporting_&_disclosure_act,0.0
suit_freq_871_irs-third_party_26_usc_7609,0.0
suit_freq_376_376_qui_tam_(31_u.s.c._3729(a)),0.0
has_376_376_qui_tam_(31_u.s.c._3729(a)),0.0
suit_freq_894_energy_allocation_act,0.0
has_894_energy_allocation_act,0.0
suit_freq_448_education,0.0
n_unique_suits,0.0
suit_entropy,0.0
has_448_education,0.0
suit_freq_899_administrative_procedure_act_review_or_appeal_of_agency_decision,0.0
has_899_administrative_procedure_act_review_or_appeal_of_agency_decision,0.0
suit_freq_441_voting,0.0
suit_freq_896_arbitration,0.0
has_896_arbitration,0.0
suit_freq_560_conditions_of_confinement,0.0
has_560_conditions_of_confinement,0.0
suit_freq_862_black_lung_(923),0.0
has_862_black_lung_(923),0.0
has_130_miller_act,0.0
suit_freq_640_rr_&_truck,0.0
has_640_rr_&_truck,0.0
suit_freq_810_selective_service,0.0
suit_freq_151_medicare_act,0.0
has_151_medicare_act,0.0
suit_freq_345_marine_product_liability,0.0
has_345_marine_product_liability,0.0
suit_freq_875_customer_challenge_12_usc_3410,0.0
has_875_customer_challenge_12_usc_3410,0.0
has_900_appeal_of_fee_determination_under_equal_access_to_justice_act,0.0
suit_freq_900_appeal_of_fee_determination_under_equal_access_to_justice_act,0.0
suit_freq_210_land_condemnation,0.0
has_620_other_food_&_drug,0.0
suit_freq_620_other_food_&_drug,0.0
has_810_selective_service,0.0
has_610_agriculture,0.0
has_444_welfare,0.0
has_210_land_condemnation,0.0
suit_freq_861_hia_(1395ff),0.0
suit_freq_130_miller_act,0.0
suit_dominance,0.0
suit_freq_400_state_reapportionment,0.0
has_400_state_reapportionment,0.0
suit_freq_660_occupational_safety_health,0.0
Party_Court_Monitor,0.0
suit_freq_153_recovery_of_overpayment_of_veteran_s_benefits,0.0
has_153_recovery_of_overpayment_of_veteran_s_benefits,0.0
has_660_occupational_safety_health,0.0
