covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
complexity_index,-1.9234764646271973,0.14609817311833162,0.007320775604053456,-1.9378249211500416,-1.9091280081043531,0.14401685737550587,0.1482095678067772,0.0,-262.74216949938796,0.0,inf
judge_concurrent_overlap,-0.0005753770453387264,0.9994247884522908,3.62431733204398e-06,-0.0005824805767780769,-0.000568273513899376,0.9994176890321002,0.9994318879229125,0.0,-158.7545991769532,0.0,inf
judge_caseload,6.51947389604471e-05,1.0000651968641836,1.0683095876435317e-06,6.310089064432694e-05,6.728858727656726e-05,1.0000631028815474,1.0000672908512045,0.0,61.02607307330556,0.0,inf
party_load,0.06807523882944438,1.0704458445413438,0.000759090712485107,0.06658744837197472,0.06956302928691405,1.068854429568155,1.0720396289687322,0.0,89.67997857144114,0.0,inf
