term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.5348459611985268,0.07383539355169068,4.3640944710011504e-13,0.3901312490528721,0.6795606733441815,M1_complexity_only
z_n_activity_types,0.10219255241379262,0.04809739805084032,0.03361163476324232,0.007923384484058604,0.19646172034352663,M1_complexity_only
z_n_motions,-0.25193997820559955,0.044769626959353506,1.8286614150015014e-08,-0.3396868346472259,-0.16419312176397322,M1_complexity_only
z_activity_entropy,1.4229493877070527,0.03789716617432482,1.5391506746193574e-308,1.3486723068892466,1.4972264685248589,M1_complexity_only
z_n_events,0.549045113060022,0.08255430243359413,2.9167317554719723e-11,0.3872416535213502,0.7108485725986938,M2_with_case_controls
z_n_activity_types,0.10055820751647716,0.048796270016133,0.03932436550967675,0.004919275704964754,0.19619713932798957,M2_with_case_controls
z_n_motions,-0.2667362570935112,0.054675924425251106,1.0689804477546064e-06,-0.3738990997884372,-0.15957341439858513,M2_with_case_controls
z_activity_entropy,1.423076848028723,0.03798860757704835,4.033968730280825e-307,1.348620545354883,1.497533150702563,M2_with_case_controls
z_n_events,0.5164065874957673,0.08165790890708774,2.548378802663931e-10,0.35636002698502284,0.6764531480065117,M3_with_judge_fe
z_n_activity_types,0.07682060591258857,0.04807406957713169,0.11005111237618738,-0.017402839048862237,0.1710440508740394,M3_with_judge_fe
z_n_motions,-0.2337481449926489,0.05475819709052565,1.9658605548533385e-05,-0.34107223914842516,-0.12642405083687264,M3_with_judge_fe
z_activity_entropy,1.4533659378253245,0.037663502509723036,0.0,1.3795468293746334,1.5271850462760157,M3_with_judge_fe
