term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.1989212931284658,0.07696779131883909,0.009752751922297496,0.04806719417394656,0.349775392082985,M1_complexity_only
z_n_activity_types,0.7682616381763824,0.03959284536097797,7.132166983212628e-84,0.6906610872234018,0.845862189129363,M1_complexity_only
z_n_motions,-0.03362964513314972,0.0416808660931627,0.41976067312763343,-0.11532264152018532,0.04806335125388587,M1_complexity_only
z_activity_entropy,0.075292889102979,0.02233455336951276,0.0007485801395717572,0.03151796888794628,0.11906780931801172,M1_complexity_only
z_n_events,0.15868145328482508,0.07918122848143308,0.04506698762622746,0.0034890972095791006,0.31387380936007103,M2_with_case_controls
z_n_activity_types,0.8281637679912224,0.04335335304968859,2.4000873949273893e-81,0.743192757404783,0.9131347785776618,M2_with_case_controls
z_n_motions,0.005484592455011372,0.042587975112069694,0.8975296314825743,-0.0779863049391334,0.08895548984915615,M2_with_case_controls
z_activity_entropy,0.03757824436624656,0.024960108392595392,0.13218733086189038,-0.01134266913345635,0.08649915786594947,M2_with_case_controls
z_n_events,0.17225343027128728,0.07954035399762756,0.03034095903702212,0.016357201118370746,0.3281496594242038,M3_with_judge_fe
z_n_activity_types,0.8336245458608182,0.043111613556032165,2.6523056641358346e-83,0.7491273359755865,0.91812175574605,M3_with_judge_fe
z_n_motions,-0.009743768608228762,0.04294832920582421,0.8205233608748129,-0.09392094704781395,0.07443340983135643,M3_with_judge_fe
z_activity_entropy,0.03054621353026162,0.024833870995539742,0.2186887782348681,-0.018127279217710134,0.07921970627823337,M3_with_judge_fe
