term,coef,std_err,p_value,ci_low,ci_high,model
z_n_events,0.12399202858687793,0.1025832369329947,0.2267793576275503,-0.07706742121933081,0.3250514783930867,M1_complexity_only
z_n_activity_types,0.8281579725717063,0.048579869285662935,3.657514715547388e-65,0.7329431783981434,0.9233727667452692,M1_complexity_only
z_n_motions,0.02769438306150754,0.061821868499330815,0.6541743734891834,-0.09347425265415214,0.14886301877716723,M1_complexity_only
z_activity_entropy,-0.10377486321969837,0.028223250917499606,0.00023605957868254304,-0.15909141854463463,-0.048458307894762104,M1_complexity_only
z_n_events,0.06846692691541661,0.10241240563261729,0.5037881024818975,-0.13225769969462026,0.2691915535254535,M2_with_case_controls
z_n_activity_types,0.902917983261686,0.048507649764108325,2.47761218013031e-77,0.8078447367493509,0.9979912297740212,M2_with_case_controls
z_n_motions,0.08097835977849625,0.061842019238981784,0.19038564448891826,-0.04022977066114117,0.20218649021813367,M2_with_case_controls
z_activity_entropy,-0.15157363488645292,0.028297362813741456,8.486922560511373e-08,-0.20703544685884917,-0.09611182291405666,M2_with_case_controls
z_n_events,0.0876302070511439,0.10399770510916953,0.399442826804977,-0.11620154943764556,0.29146196353993337,M3_with_judge_fe
z_n_activity_types,0.9121045139114743,0.04858619798721465,1.2579257081617679e-78,0.8168773157108011,1.0073317121121474,M3_with_judge_fe
z_n_motions,0.06024370167864925,0.06303218683760205,0.3391930301337942,-0.06329711438985042,0.1837845177471489,M3_with_judge_fe
z_activity_entropy,-0.16467481248567767,0.028362187512828447,6.392976739189847e-09,-0.22026367853359308,-0.10908594643776226,M3_with_judge_fe
