column
Unnamed: 0
ucid
date_filed
Activity
event_judge
attribute_duplicates
attribute_memo_opinion
attribute_scheduling
attribute_rescheduling
attribute_hearing_conf
attribute_admin_closing
attribute_bilateral_unopposed
attribute_case_opened_in_error
attribute_default_judgment
attribute_dismiss_with_prejudice
attribute_dismiss_without_prejudice
attribute_dismissal_other
attribute_dispositive
attribute_granting_motion_for_summary_judgment
attribute_granting_motion_to_dismiss
attribute_motion_for_arbitration
attribute_motion_for_default_judgment
attribute_motion_for_dismissal_other
attribute_motion_for_habeas_corpus
attribute_motion_for_judgment_as_a_matter_of_law
attribute_motion_for_judgment_on_the_pleadings
attribute_motion_for_judgment_other
attribute_motion_for_settlement
attribute_motion_for_summary_judgment
attribute_motion_for_time_extension
attribute_motion_for_voluntary_dismissal
attribute_motion_other
attribute_motion_to_certify_class
attribute_motion_to_dismiss
attribute_motion_to_remand
attribute_motion_to_seal
attribute_notice_of_appeal
attribute_notice_of_consent
attribute_notice_of_dismissal_other
attribute_notice_of_motion
attribute_notice_of_settlement
attribute_notice_of_voluntary_dismissal
attribute_notice_other
attribute_opening
attribute_petition_for_habeas_corpus
attribute_petition_other
attribute_plea_guilty
attribute_plea_not_guilty
attribute_proposed
attribute_remand
attribute_settlement_consent_decree
attribute_settlement_rule_68
attribute_stipulation_for_judgment
attribute_stipulation_for_settlement
attribute_stipulation_of_dismissal
attribute_stipulation_other
attribute_transfer_inbound
attribute_transfer_outbound
attribute_transfer_unknown
attribute_transferred_entry
attribute_trial_bench
attribute_trial_jury
attribute_trial_other
attribute_voluntary_dismissal
attribute_waiver_of_indictment
attribute_waiver_other
city
case_status
case_type
nature_suit
is_mdl
District_Judge
Magistrate_Judge
plaintiffs_count
plaintiffs_share_ind
plaintiffs_share_pro_se
plaintiffs_share_pro_hac_vice
plaintiffs_counsels_count
Defendants_count
Defendants_share_ind
Defendants_share_pro_se
Defendants_share_pro_hac_vice
Defendants_counsels_count
Defendants_highest_offense_opening
Defendants_highest_offense_terminated
Defendants_pending_counts
Defendants_terminated_counts
Party_Amicus
Party_Counter_Claimant
Party_Counter_Defendant
Party_Court_Monitor
Party_Intervenor
Party_Material_Witness
Party_Third_Party_Defendant
Party_Third_Party_Plaintiff
Party_Trustee
Other_courts
related_case_count
