case_type,model,term,coef,hazard_ratio,p_value,concordance
cv,Cox_M1_complexity,z_n_events,-0.4884,0.6136,4.4265959528745565e-308,0.7397591315149418
cv,Cox_M1_complexity,z_n_activity_types,-0.294,0.7453,0.0,0.7397591315149418
cv,Cox_M1_complexity,z_n_motions,0.1147,1.1215,3.080809281237392e-28,0.7397591315149418
cv,Cox_M1_complexity,z_activity_entropy,-0.0499,0.9514,9.017342571875885e-23,0.7397591315149418
cv,Cox_M2_with_controls,z_n_events,-0.2802,0.7556,2.1159368624822796e-93,0.7877728062971698
cv,Cox_M2_with_controls,z_n_activity_types,-0.6143,0.541,0.0,0.7877728062971698
cv,Cox_M2_with_controls,z_n_motions,-0.1809,0.8345,1.903647697634775e-58,0.7877728062971698
cv,Cox_M2_with_controls,z_activity_entropy,0.203,1.2251,7.286079628926825e-285,0.7877728062971698
cv,Cox_M2_with_controls,is_mdl,-1.9129,0.1477,0.0,0.7877728062971698
