case_type,model,term,coef,hazard_ratio,p_value,concordance
cr,Cox_M1_complexity,z_n_events,-0.3194,0.7266,1.090671615966608e-24,0.7400169377506483
cr,Cox_M1_complexity,z_n_activity_types,-0.3022,0.7392,4.792906352782057e-45,0.7400169377506483
cr,Cox_M1_complexity,z_n_motions,0.0767,1.0797,0.0009816680113963012,0.7400169377506483
cr,Cox_M1_complexity,z_activity_entropy,-0.0308,0.9697,0.07876995588297382,0.7400169377506483
cr,Cox_M2_with_controls,z_n_events,-0.3194,0.7266,1.090671615966608e-24,0.7400169377506483
cr,Cox_M2_with_controls,z_n_activity_types,-0.3022,0.7392,4.792906352782057e-45,0.7400169377506483
cr,Cox_M2_with_controls,z_n_motions,0.0767,1.0797,0.0009816680113963012,0.7400169377506483
cr,Cox_M2_with_controls,z_activity_entropy,-0.0308,0.9697,0.07876995588297382,0.7400169377506483
